State or Nation,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Total Number of Fire Safety Deficiencies,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Total Number of Fire Safety Deficiencies,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Total Number of Fire Safety Deficiencies,Average Number of Residents per Day,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Registered Nurse turnover,Number of administrators who have left the nursing home,Nursing Case-Mix Index,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Number of Fines,Fine Amount in Dollars,Percentage of long stay residents whose need for help with daily activities has increased,Percentage of long stay residents who lose too much weight,Percentage of long stay residents with a catheter inserted and left in their bladder,Percentage of long stay residents with a urinary tract infection,Percentage of long stay residents who have depressive symptoms,Percentage of long stay residents who were physically restrained,Percentage of long stay residents experiencing one or more falls with major injury,Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long stay residents who received an antipsychotic medication,Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short stay residents who newly received an antipsychotic medication,Percentage of long stay residents whose ability to walk independently worsened,Percentage of long stay residents who received an antianxiety or hypnotic medication,Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine,Percentage of long stay residents with pressure ulcers,Percentage of long stay residents with new or worsened bowel or bladder incontinence,Percentage of short stay residents who were rehospitalized after a nursing home admission,Percentage of short stay residents who had an outpatient emergency department visit,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Processing Date
FL,7.2,2.6,6.2,2.3,5.8,2.2,107.7,2.35,0.78,0.73412,1.52,3.86729,3.52584,0.53,0.09,43.5,46.7,0.7,1.31844,0.64656,3.72577,3.29945,1.2,36586,12.086995,6.088783,0.684757,0.989694,2.903335,0.002585,2.701234,97.638665,8.65838,93.268857,1.60152,16.319643,18.339664,99.057146,92.658466,5.880524,15.375824,27.676422,10.066613,2.09083,1.192672,2025-05-01
GA,5.8,3.9,5.5,2.5,3.8,2.1,87.2,2.14,0.93,0.46756,1.4,3.53295,3.07108,0.31,0.05,48.8,45.1,0.6,1.38972,0.68151,3.92719,3.47783,1.0,19606,18.190341,6.148419,1.461261,2.650603,7.188767,0.039742,3.19152,91.977202,18.941208,80.742132,2.308613,22.752316,20.841594,94.981966,79.326764,6.667631,16.377353,25.230633,13.285225,2.00389,1.834968,2025-05-01
GU,17.0,1.0,17.0,6.0,20.0,8.0,20.6,3.89,1.39,2.65364,4.04,7.93873,7.0696,2.45,0.17,nan,nan,nan,1.2452,0.61064,3.51879,3.11616,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2025-05-01
HI,10.3,1.0,13.4,1.8,11.4,2.1,79.7,2.76,0.34,1.63652,1.97,4.73553,4.22422,1.25,0.09,32.7,27.8,0.5,1.49428,0.73278,4.22265,3.73948,1.3,39284,20.146526,4.699282,1.4827,2.345933,1.713658,0.353741,2.784975,95.983641,9.948117,83.693271,1.418626,28.425116,8.637269,96.820185,81.795693,3.881137,19.379539,19.760032,10.65489,1.354924,1.228988,2025-05-01
IA,6.5,5.1,8.0,5.5,7.9,6.0,50.9,2.48,0.58,0.75772,1.33,3.81871,3.36896,0.52,0.04,46.5,43.0,0.6,1.22776,0.60208,3.46949,3.0725,1.1,28207,19.422047,4.767896,2.293982,2.620049,3.859017,0.172066,3.583863,94.849957,18.714402,85.885814,1.79064,21.841831,20.200919,95.48544,75.422158,4.437051,26.434374,22.726594,14.712011,1.413012,1.993195,2025-05-01
ID,7.2,2.5,9.4,4.2,8.3,4.8,53.9,2.49,0.76,0.85732,1.62,4.10784,3.47614,0.56,0.1,46.4,40.3,0.3,1.34984,0.66195,3.81448,3.37802,0.8,18624,17.946992,5.831584,1.731406,1.995739,10.8607,0.073196,2.96355,97.536041,18.569041,88.556226,1.733292,24.667868,16.225391,95.86574,84.526832,4.08124,23.352874,17.371637,13.863554,1.066601,1.488321,2025-05-01
IL,12.1,6.7,13.1,6.7,12.6,6.4,91.4,2.09,0.63,0.71315,1.34,3.43188,3.03527,0.53,0.05,46.4,44.9,0.5,1.56579,0.76785,4.42472,3.91843,2.5,118583,16.781381,6.441543,1.447393,2.003528,44.358566,0.099338,3.411576,87.709638,19.587912,67.022169,2.26781,21.637124,18.652467,91.556863,62.004335,5.460727,21.719882,27.496905,14.558691,1.953232,2.057958,2025-05-01
IN,7.4,5.4,8.5,5.9,9.1,6.6,70.4,2.28,0.77,0.63867,1.41,3.68707,3.25168,0.44,0.06,48.5,42.0,0.5,1.53177,0.75117,4.32859,3.8333,0.6,11954,14.545219,5.649751,0.607667,1.298691,22.958429,0.059551,3.78552,93.53993,12.604979,81.765367,1.504085,18.20404,23.42514,94.892952,77.436045,4.826959,25.343492,23.483886,11.647429,1.628518,1.497314,2025-05-01
KS,10.6,9.7,8.8,9.5,6.6,9.8,49.6,2.65,0.67,0.721,1.39,4.04015,3.57352,0.5,0.04,50.4,44.7,0.5,1.24761,0.61182,3.5256,3.12219,1.6,29434,19.049697,5.186254,2.343622,3.287535,4.691261,0.039666,4.520857,91.979412,17.354506,75.474711,2.001223,21.593882,23.476928,94.812645,70.193986,4.816558,23.847433,23.430433,12.949441,1.814437,2.019927,2025-05-01
KY,4.4,4.0,5.5,2.0,4.1,1.1,79.2,2.36,0.82,0.75734,1.58,3.94217,3.46743,0.52,0.06,47.8,42.4,0.5,1.46421,0.71804,4.13769,3.66425,0.8,25301,19.426032,7.175677,1.011631,2.326316,11.908732,0.216833,3.850362,93.101195,15.994998,82.852973,2.029442,24.63801,29.694022,96.189937,81.718279,6.384123,21.457051,25.549163,14.974999,1.913783,2.172003,2025-05-01
LA,8.9,0.9,8.3,1.1,6.6,1.1,88.7,2.33,1.17,0.3025,1.47,3.80272,3.27694,0.21,0.05,48.5,40.9,0.5,1.25265,0.61429,3.53984,3.1348,1.2,52425,20.680538,5.018481,1.890218,2.664131,1.532649,0.324004,3.573985,92.245981,19.633207,82.683786,3.267033,26.163942,22.882176,93.580745,75.496696,6.709724,16.240851,29.370477,15.710807,2.663349,2.727643,2025-05-01
MA,10.0,4.4,12.0,2.8,11.1,2.5,96.1,2.27,0.97,0.65472,1.63,3.90158,3.49489,0.46,0.08,43.1,48.4,0.6,1.3712,0.67243,3.87483,3.43146,1.3,52264,20.945578,5.2201,1.357351,2.191725,8.146284,0.119935,3.706729,91.08532,20.463452,75.741636,1.216703,23.458057,18.787588,93.947523,75.449422,4.872411,22.751583,26.792407,12.523196,1.765683,1.479868,2025-05-01
MD,19.3,10.1,14.5,4.3,12.1,3.7,104.8,2.16,0.91,0.8151,1.73,3.88936,3.46609,0.6,0.08,41.6,42.7,0.7,1.41137,0.69213,3.98837,3.53201,0.6,26998,24.257617,5.740585,0.876489,1.677539,17.175451,0.041816,2.384024,91.790938,12.758332,78.212734,1.356197,31.358148,15.26276,95.372083,79.805479,7.141381,26.105432,23.445138,10.521588,1.333556,1.183111,2025-05-01
ME,11.8,5.7,7.6,5.9,6.1,4.6,64.0,2.84,0.48,0.99292,1.48,4.3196,3.9241,0.71,0.07,51.0,42.1,0.4,1.3183,0.64648,3.72535,3.29908,0.6,8661,25.972534,5.367596,1.909374,2.93522,9.01452,0.052333,4.326332,89.329457,20.317885,70.001097,1.39602,34.186422,16.439972,95.041455,67.535823,4.64082,30.304552,21.395594,16.357706,1.356287,2.082083,2025-05-01
